country,child_mort,exports,health,imports,income,inflation,life_expec,total_fer,gdpp
Afghanistan,1.2915323778422956,-0.4110113036528011,-0.5650398893593495,-0.4322755039168213,-0.808245403048222,0.15733622489659913,-1.6190920260077017,1.9028822700845949,-0.6791796085360506
Albania,-0.5389488973136866,-0.35019096048357207,-0.4392176883507597,-0.3136773866274253,-0.3753688957256792,-0.312347468635594,0.6478664305285681,-0.859972814176629,-0.4856232358934812
Algeria,-0.27283273367008587,-0.31852576594467186,-0.48482607586888815,-0.35372047759623676,-0.22084446943385808,0.7892742852853684,0.6704232310911183,-0.03840439583516186,-0.46537560856021837
Angola,2.007807659425071,-0.29137452457483204,-0.5323631859873705,-0.34595254067460096,-0.5850434539600359,1.3870535315990684,-1.1792344150379779,2.1281510299524165,-0.5162682934789601
Antigua and Barbuda,-0.6956341151599187,-0.10433146150661159,-0.17877053847934316,0.04073499110344461,0.1017317740036137,-0.6017485323271473,0.704258431934943,-0.5419463296573515,-0.041817134075206375
Argentina,-0.5911773032624306,-0.3054643754297717,-0.12384871477873169,-0.3368414249821741,0.08092040345926069,1.244725139619616,0.5914744291221932,-0.38293308739771253,-0.14579143659736693
Armenia,-0.5016428930645837,-0.3767222238622107,-0.5094930125435079,-0.34975094114773647,-0.5434207128713299,-0.0011227181738579543,0.3095144220903187,-0.8334706071333559,-0.5332325217852074
Australia,-0.8324227974066294,0.15935170717238742,1.9343666728628879,0.2903685156464537,1.2619656818512945,-0.6283164988299784,1.290735246561242,-0.6744573648737171,2.13069855546678
Austria,-0.8448581321563303,0.9285206218187477,2.2841035455419747,1.0793053620779431,1.355616849300883,-0.6555486644953804,1.1215592423421175,-0.9991094011538129,1.857081969882147
Azerbaijan,0.02312823337279717,-0.23713733204664716,-0.3971816692517627,-0.3667813570547511,-0.05955634771512219,0.5710374175835411,-0.16417838972323065,-0.6810829166345354,-0.38985743093885966
Bahamas,-0.6085867719120119,0.13277803305807703,0.6416826660603875,0.38506602807039747,0.29943979417496736,-0.7756738273260383,0.3659064234966936,-0.720836227199445,0.8228112763722342
Bahrain,-0.7379142533089019,0.38872124247698603,-0.015558513120865433,0.26917765463316135,1.2463571539430298,-0.03243496440933742,0.6140312296847434,-0.5220696743748965,0.42333106141866983
Bangladesh,0.27680906226669677,-0.4073293821533005,-0.5735230394154909,-0.43793819561481667,-0.7650618091686895,-0.060900642805227986,-0.017559186066654665,-0.4094352944409857,-0.6679613285270807
Barbados,-0.5986385041122512,-0.06141849343877315,0.12164025591875013,0.08206671551225353,-0.09597624616773998,-0.707925512743819,0.6929800316536686,-0.7738406412859913,0.16613147096911476
Belarus,-0.815013328757048,-0.24113845013567708,-0.40002631237104924,-0.18402245351453328,-0.049150662442945685,0.6943886906323998,-0.017559186066654665,-0.9659816423497214,-0.3794600006866436
Belgium,-0.8398839982564499,1.478850140399003,2.05682162710534,1.8121627902873192,1.2463571539430298,-0.5599988706798413,1.0651672409357427,-0.720836227199445,1.7202736770898306
Belize,-0.4842334244150023,-0.2731440466319424,-0.46272260306610147,-0.2790574651727621,-0.4820271697654885,-0.6302142107230378,0.0952248167460951,-0.15766432752989104,-0.4719424066142496
Benin,1.8088423034298555,-0.4040300501324384,-0.5710751652699376,-0.4299792136720765,-0.7973194335124367,-0.6544100373595448,-0.9875016102563037,1.5981068890869539,-0.6679613285270807
Bhutan,0.11017557662070393,-0.3623952077091069,-0.525261322024462,-0.3441191357433029,-0.557988672252377,-0.1700190766561415,0.17417361871501869,-0.3763075356368944,-0.590144771586811
Bolivia,0.20717118766837142,-0.36857489832527385,-0.5350207474687475,-0.40289991147296694,-0.6105373828768683,0.09471173242564003,0.11778161730864378,0.1669877087502049,-0.6010894350101964
Bosnia and Herzegovina,-0.7801943914578853,-0.3376926282883136,-0.3034637908896426,-0.2879599449749037,-0.38629486526146456,-0.6055439561132662,0.704258431934943,-1.0852415740444505,-0.45716711099267937
Botswana,0.3539081377148428,-0.2595993969447828,-0.29492262325412577,-0.22709962850873563,-0.20003309888950507,0.10799571567705564,-1.5175864234762273,-0.045029947595980294,-0.36194853920922704
Brazil,-0.45936275491560036,-0.34722220898655126,-0.026510584006824735,-0.35909591994594064,-0.137598987256446,0.05960406240404182,0.41102002462179416,-0.7605895377643547,-0.09654045119213299
Brunei,-0.6906599812600384,0.9135931589342917,-0.03018540189433525,0.2247027555373744,3.3014799951978904,0.8462056420771492,0.7380936327787676,-0.7340873307210816,1.2222914913257983
Bulgaria,-0.6831987804102178,-0.22248553894405723,-0.3267387510917205,-0.20203263992592702,-0.09597624616773998,-0.6330607785626269,0.3771848237779696,-0.9129772282631752,-0.33513411382193303
